date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:49	14246/14246	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/movie-theaters.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/movie-theaters.html	(from https://vibingsarasota.com/)
10:27:49	15845/15845	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/meet-people.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/meet-people.html	(from https://vibingsarasota.com/)
10:27:54	14305/14305	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/st-armands.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/st-armands.html	(from https://vibingsarasota.com/)
10:28:10	19271/19271	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/beaches.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/beaches.html	(from https://vibingsarasota.com/)
10:28:10	14388/14388	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/family-activities.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/family-activities.html	(from https://vibingsarasota.com/)
10:28:10	11446/11446	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/about.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/about.html	(from https://vibingsarasota.com/)
10:28:15	9608/9608	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/terms-of-service.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/terms-of-service.html	(from https://vibingsarasota.com/)
10:28:32	10775/10775	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/privacy-policy.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/privacy-policy.html	(from https://vibingsarasota.com/)
10:28:32	8028/8028	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/consent-manager.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/consent-manager.js	(from https://vibingsarasota.com/)
10:28:32	16203/16203	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/gtm-tracking.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/gtm-tracking.js	(from https://vibingsarasota.com/)
10:28:58	7624/7624	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/hub.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/hub.js	(from https://vibingsarasota.com/)
10:29:16	44167/44167	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/shared.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/shared.js	(from https://vibingsarasota.com/food-services.html)
10:29:16	11449/11449	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/category.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/category.js	(from https://vibingsarasota.com/food-services.html)
10:29:16	19116/19116	U-----	200	untouched ('')	application/javascript	etag:%2220959212%22	https://vibingsarasota.com/js/vibe-widget.js	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/js/vibe-widget.js	(from https://vibingsarasota.com/food-services.html)
10:29:17	14968/14968	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/fine-dining.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/fine-dining.html	(from https://vibingsarasota.com/)
10:29:17	15024/15024	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/party-vibe.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/party-vibe.html	(from https://vibingsarasota.com/)
10:29:17	14200/14200	U-----	200	untouched ('OK')	text/html	etag:%2220959212%22	https://vibingsarasota.com/med-spas.html	C:/codex/NCF/WebF25/vibingsarasota.com/vibingsarasota.com/med-spas.html	(from https://vibingsarasota.com/)
